,item,predicate_types,answer_type,Question,Continuation,num
1,Critical 1,Cognitive,No,Is Anna aware that Ryan is coming to the wedding?,"No, because he isn't.",13
2,Critical 1,Emotive,No,Is Anna happy that Nancy is coming to the wedding?,"No, because he isn't.",22
3,Critical 1,Cognitive,Yes,Is Anna aware that Ryan is coming to the wedding?,"Yes, although he isn't.",9
4,Critical 1,Emotive,Yes,Is Anna happy that Nancy is coming to the wedding?,"Yes, although he isn't.",16
5,Critical 10,Emotive,No,Does Maria appreciate that Chris is going to the dinner?,"No, because he isn't.",16
6,Critical 10,Cognitive,No,Does Maria realize that Chris is going to the dinner?,"No, because he isn't.",9
7,Critical 10,Emotive,Yes,Does Maria appreciate that Chris is going to the dinner?,"Yes, although he isn't.",13
8,Critical 10,Cognitive,Yes,Does Maria realize that Chris is going to the dinner?,"Yes, although he isn't.",22
9,Critical 11,Cognitive,No,Is Sharon aware that James is travelling to South America?,"No, because he isn't.",13
10,Critical 11,Emotive,No,Is Sharon happy that James is travelling to South America?,"No, because he isn't.",22
11,Critical 11,Cognitive,Yes,Is Sharon aware that James is travelling to South America?,"Yes, although he isn't.",9
12,Critical 11,Emotive,Yes,Is Sharon happy that James is travelling to South America?,"Yes, although he isn't.",16
13,Critical 12,Emotive,No,Does Katie appreciate that Robbie is going to the exhibition?,"No, because he isn't.",9
14,Critical 12,Cognitive,No,Does Katie realize that Robbie is going to the exhibition?,"No, because he isn't.",16
15,Critical 12,Emotive,Yes,Does Katie appreciate that Robbie is going to the exhibition?,"Yes, although he isn't.",22
16,Critical 12,Cognitive,Yes,Does Katie realize that Robbie is going to the exhibition?,"Yes, although he isn't.",13
17,Critical 13,Cognitive,No,Is Joanna aware that Dave is coming to the graduation ceremony?,"No, because he isn't.",9
18,Critical 13,Emotive,No,Is Joanna happy that Dave is coming to the graduation ceremony?,"No, because he isn't.",16
19,Critical 13,Cognitive,Yes,Is Joanna aware that Dave is coming to the graduation ceremony?,"Yes, although he isn't.",22
20,Critical 13,Emotive,Yes,Is Joanna happy that Dave is coming to the graduation ceremony?,"Yes, although he isn't.",13
21,Critical 14,Emotive,No,Does Laura appreciate that Matt is visiting her parents?,"No, because he isn't.",22
22,Critical 14,Cognitive,No,Does Laura realize that Matt is visiting her parents?,"No, because he isn't.",13
23,Critical 14,Emotive,Yes,Does Laura appreciate that Matt is visiting her parents?,"Yes, although he isn't.",16
24,Critical 14,Cognitive,Yes,Does Laura realize that Matt is visiting her parents?,"Yes, although he isn't.",9
25,Critical 15,Cognitive,No,Is Hannah aware that Ted is moving back to Philly?,"No, because he isn't.",16
26,Critical 15,Emotive,No,Is Hannah happy that Ted is moving back to Philly?,"No, because he isn't.",9
27,Critical 15,Cognitive,Yes,Is Hannah aware that Ted is moving back to Philly?,"Yes, although he isn't.",13
28,Critical 15,Emotive,Yes,Is Hannah happy that Ted is moving back to Philly?,"Yes, although he isn't.",22
29,Critical 16,Emotive,No,Does Sally appreciate that Tom is going to their high school reunion?,"No, because he isn't.",13
30,Critical 16,Cognitive,No,Does Sally realize that Tom is going to their high school reunion?,"No, because he isn't.",22
31,Critical 16,Emotive,Yes,Does Sally appreciate that Tom is going to their high school reunion?,"Yes, although he isn't.",9
32,Critical 16,Cognitive,Yes,Does Sally realize that Tom is going to their high school reunion?,"Yes, although he isn't.",16
33,Critical 17,Cognitive,No,Is Eve aware that Ben is coming to the bar mitzvah?,"No, because he isn't.",13
34,Critical 17,Emotive,No,Is Eve happy that Ben is coming to the bar mitzvah?,"No, because he isn't.",22
35,Critical 17,Cognitive,Yes,Is Eve aware that Ben is coming to the bar mitzvah?,"Yes, although he isn't.",9
36,Critical 17,Emotive,Yes,Is Eve happy that Ben is coming to the bar mitzvah?,"Yes, although he isn't.",16
37,Critical 18,Emotive,No,Does Becky appreciate that Joel is going to the talk?,"No, because he isn't.",9
38,Critical 18,Cognitive,No,Does Becky realize that Joel is going to the talk?,"No, because he isn't.",16
39,Critical 18,Emotive,Yes,Does Becky appreciate that Joel is going to the talk?,"Yes, although he isn't.",22
40,Critical 18,Cognitive,Yes,Does Becky realize that Joel is going to the talk?,"Yes, although he isn't.",13
41,Critical 19,Cognitive,No,Is Sue aware that Nick is going to the gig?,"No, because he isn't.",22
42,Critical 19,Emotive,No,Is Sue happy that Nick is going to the gig?,"No, because he isn't.",13
43,Critical 19,Cognitive,Yes,Is Sue aware that Nick is going to the gig?,"Yes, although he isn't.",16
44,Critical 19,Emotive,Yes,Is Sue happy that Nick is going to the gig?,"Yes, although he isn't.",9
45,Critical 2,Emotive,No,Does Lisa appreciate that Andrew is going to the conference dinner?,"No, because he isn't.",9
46,Critical 2,Cognitive,No,Does Lisa realize that Andrew is going to the conference dinner?,"No, because he isn't.",16
47,Critical 2,Emotive,Yes,Does Lisa appreciate that Andrew is going to the conference dinner?,"Yes, although he isn't.",22
48,Critical 2,Cognitive,Yes,Does Lisa realize that Andrew is going to the conference dinner?,"Yes, although he isn't.",13
49,Critical 20,Emotive,No,Does Lesley appreciate that Will is travelling to East Asia?,"No, because he isn't.",16
50,Critical 20,Cognitive,No,Does Lesley realize that Will is travelling to East Asia?,"No, because he isn't.",9
51,Critical 20,Emotive,Yes,Does Lesley appreciate that Will is travelling to East Asia?,"Yes, although he isn't.",13
52,Critical 20,Cognitive,Yes,Does Lesley realize that Will is travelling to East Asia?,"Yes, although he isn't.",22
53,Critical 21,Cognitive,No,Is Jackie aware that Ed is coming to the family reunion?,"No, because he isn't.",16
54,Critical 21,Emotive,No,Is Jackie happy that Ed is coming to the family reunion?,"No, because he isn't.",9
55,Critical 21,Cognitive,Yes,Is Jackie aware that Ed is coming to the family reunion?,"Yes, although he isn't.",13
56,Critical 21,Emotive,Yes,Is Jackie happy that Ed is coming to the family reunion?,"Yes, although he isn't.",22
57,Critical 22,Emotive,No,Does Ruth appreciate that Andy is visiting the college campus?,"No, because he isn't.",13
58,Critical 22,Cognitive,No,Does Ruth realize that Andy is visiting the college campus?,"No, because he isn't.",22
59,Critical 22,Emotive,Yes,Does Ruth appreciate that Andy is visiting the college campus?,"Yes, although he isn't.",9
60,Critical 22,Cognitive,Yes,Does Ruth realize that Andy is visiting the college campus?,"Yes, although he isn't.",16
61,Critical 23,Cognitive,No,Is Liz aware that Dan is moving back to Florida?,"No, because he isn't.",9
62,Critical 23,Emotive,No,Is Liz happy that Dan is moving back to Florida?,"No, because he isn't.",16
63,Critical 23,Cognitive,Yes,Is Liz aware that Dan is moving back to Florida?,"Yes, although he isn't.",22
64,Critical 23,Emotive,Yes,Is Liz happy that Dan is moving back to Florida?,"Yes, although he isn't.",13
65,Critical 24,Emotive,No,Does Nancy appreciate that John is going to the dinner reception?,"No, because he isn't.",22
66,Critical 24,Cognitive,No,Does Nancy realize that John is going to the dinner reception?,"No, because he isn't.",13
67,Critical 24,Emotive,Yes,Does Nancy appreciate that John is going to the dinner reception?,"Yes, although he isn't.",16
68,Critical 24,Cognitive,Yes,Does Nancy realize that John is going to the dinner reception?,"Yes, although he isn't.",9
69,Critical 3,Cognitive,No,Is Kathy aware that Richard is going to the concert?,"No, because he isn't.",22
70,Critical 3,Emotive,No,Is Kathy happy that Richard is going to the concert?,"No, because he isn't.",13
71,Critical 3,Cognitive,Yes,Is Kathy aware that Richard is going to the concert?,"Yes, although he isn't.",16
72,Critical 3,Emotive,Yes,Is Kathy happy that Richard is going to the concert?,"Yes, although he isn't.",9
73,Critical 4,Emotive,No,Does Mary appreciate that James is travelling to Europe?,"No, because he isn't.",16
74,Critical 4,Cognitive,No,Does Mary realize that James is travelling to Europe?,"No, because he isn't.",9
75,Critical 4,Emotive,Yes,Does Mary appreciate that James is travelling to Europe?,"Yes, although he isn't.",13
76,Critical 4,Cognitive,Yes,Does Mary realize that James is travelling to Europe?,"Yes, although he isn't.",22
77,Critical 5,Cognitive,No,Is Maggie aware that Martin is coming to the party?,"No, because he isn't.",16
78,Critical 5,Emotive,No,Is Maggie happy that Martin is coming to the party?,"No, because he isn't.",9
79,Critical 5,Cognitive,Yes,Is Maggie aware that Martin is coming to the party?,"Yes, although he isn't.",13
80,Critical 5,Emotive,Yes,Is Maggie happy that Martin is coming to the party?,"Yes, although he isn't.",22
81,Critical 6,Emotive,No,Does Karen appreciate that Larry is visiting her grandparents?,"No, because he isn't.",13
82,Critical 6,Cognitive,No,Does Karen realize that Larry is visiting her grandparents?,"No, because he isn't.",22
83,Critical 6,Emotive,Yes,Does Karen appreciate that Larry is visiting her grandparents?,"Yes, although he isn't.",9
84,Critical 6,Cognitive,Yes,Does Karen realize that Larry is visiting her grandparents?,"Yes, although he isn't.",16
85,Critical 7,Cognitive,No,Is Maria aware that Mike is moving back to Chicago?,"No, because he isn't.",9
86,Critical 7,Emotive,No,Is Maria happy that Mike is moving back to Chicago?,"No, because he isn't.",16
87,Critical 7,Cognitive,Yes,Is Maria aware that Mike is moving back to Chicago?,"Yes, although he isn't.",22
88,Critical 7,Emotive,Yes,Is Maria happy that Mike is moving back to Chicago?,"Yes, although he isn't.",13
89,Critical 8,Emotive,No,Does Amy appreciate that Eric is leaving his old job?,"No, because he isn't.",22
90,Critical 8,Cognitive,No,Does Amy realize that Eric is leaving his old job?,"No, because he isn't.",13
91,Critical 8,Emotive,Yes,Does Amy appreciate that Eric is leaving his old job?,"Yes, although he isn't.",16
92,Critical 8,Cognitive,Yes,Does Amy realize that Eric is leaving his old job?,"Yes, although he isn't.",9
93,Critical 9,Cognitive,No,Is Laura aware that Robin is coming to the wine reception?,"No, because he isn't.",22
94,Critical 9,Emotive,No,Is Laura happy that Robin is coming to the wine reception?,"No, because he isn't.",13
95,Critical 9,Cognitive,Yes,Is Laura aware that Robin is coming to the wine reception?,"Yes, although he isn't.",16
96,Critical 9,Emotive,Yes,Is Laura happy that Robin is coming to the wine reception?,"Yes, although he isn't.",9
97,FillerConj1,Conj Bad,No,Is Mike going to Paris and Rome this summer?,"No, because he is.",13
98,FillerConj1,Conj Good,No,Is Mike going to Paris and Rome this summer?,"No, he's not.",22
99,FillerConj1,Conj Bad,Yes,Is Mike going to Paris and Rome this summer?,"Yes, although he's not going to Paris.",9
100,FillerConj1,Conj Good,Yes,Is Mike going to Paris and Rome this summer?,"Yes, although he's only spending a day in each city.",16
101,FillerConj10,Conj Bad,No,Is Jim coming to the show and the afterparty?,"No, because he is.",9
102,FillerConj10,Conj Good,No,Is Jim coming to the show and the afterparty?,"No, he's not.",16
103,FillerConj10,Conj Bad,Yes,Is Jim coming to the show and the afterparty?,"Yes, although he's not coming to the show.",22
104,FillerConj10,Conj Good,Yes,Is Jim coming to the show and the afterparty?,"Yes, although he's only coming for a bit.",13
105,FillerConj11,Conj Bad,No,Is Kyle going to the concert and the fundraiser?,"No, because he is.",13
106,FillerConj11,Conj Good,No,Is Kyle going to the concert and the fundraiser?,"No, he's not.",22
107,FillerConj11,Conj Good,Yes,Is Kyle going to the concert and the fundraiser?,"Yes, although he's not a big supporter of the cause.",16
108,FillerConj11,Conj Bad,Yes,Is Kyle going to the concert and the fundraiser?,"Yes, although he's not going to the concert.",9
109,FillerConj12,Conj Bad,No,Is Julie travelling to Mexico and Guatemala?,"No, because she is.",16
110,FillerConj12,Conj Good,No,Is Julie travelling to Mexico and Guatemala?,"No, she's not.",9
111,FillerConj12,Conj Good,Yes,Is Julie travelling to Mexico and Guatemala?,"Yes, although she's not going for very long.",22
112,FillerConj12,Conj Bad,Yes,Is Julie travelling to Mexico and Guatemala?,"Yes, although she's not going to Mexico.",13
113,FillerConj13,Conj Bad,No,Is Anna going to the lecture and panel discussion?,"No, because she is.",9
